ano,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2005,estadual,medio,todos (1-4),70.5,74.770.844,260.02,248.69,40.645.995,3,
2019,estadual,medio,todos (1-4),84.5,85.342.127,268.6,272.01,45.342.822,3.9,4.6
2017,estadual,medio,todos (1-4),81.2,82.060.015,259.92,260.11,42.340.879,3.5,4.4
2013,estadual,medio,todos (1-4),78,80.565.822,260.64,256.32,41.876.044,3.4,3.6
2011,estadual,medio,todos (1-4),75,78.303.599,264.94,261.07,43.188.152,3.4,3.3
2015,estadual,medio,todos (1-4),79.7,81.642.801,259.69,260.6,42.380.433,3.5,3.9
2009,estadual,medio,todos (1-4),73.5,77.534.807,265.45,261.85,43.378.043,3.4,3.2
2021,estadual,medio,todos (1-4),89.8,8.945.450.883,262.37,269.54,44.095.160.802,3.9,
2013,estadual,fundamental,finais (6-9),85.1,85.141.498,244.75,240.21,47.493.334,4,4.2
2007,estadual,fundamental,finais (6-9),78.7,78.712.749,241.63,229.96,45.265.002,3.6,3.3
2019,estadual,fundamental,finais (6-9),90,89.995.557,258.02,256.57,52.435.002,4.7,5.1
2009,estadual,fundamental,finais (6-9),80.5,80.492.073,242.86,239.74,47.101.665,3.8,3.5
2017,estadual,fundamental,finais (6-9),86.8,86.815.858,252.99,254.83,51.303.334,4.5,4.8
2015,estadual,fundamental,finais (6-9),85.3,85.259.575,250.94,247.52,49.743.333,4.2,4.5
2005,estadual,fundamental,finais (6-9),76.3,76.363.516,232.86,226.6,43.243.699,3.3,
2011,estadual,fundamental,finais (6-9),82.3,82.303.166,245.08,239.16,47.375.002,3.9,3.8
2021,estadual,fundamental,finais (6-9),95.8,958.719.213,254.05,256.64,51.781.666.667,5,
2005,estadual,fundamental,iniciais (1-5),85.5,8.637.526,181.13,172.19,4.551.878,3.9,
2021,estadual,fundamental,iniciais (1-5),97.8,9.783.530.455,219.49,211.31,60.001.668.104,5.9,
2007,estadual,fundamental,iniciais (1-5),88,88.676.101,192.94,175.96,48.500.247,4.3,4
2015,estadual,fundamental,iniciais (1-5),94.8,94.988.275,223.3,211.19,60.707.827,5.8,5.3
2009,estadual,fundamental,iniciais (1-5),91.1,91.612.029,207.11,186.22,5.307.601,4.9,4.3
2017,estadual,fundamental,iniciais (1-5),95.6,95.722.812,227.89,218.55,62.927.403,6,5.6
2019,estadual,fundamental,iniciais (1-5),96.3,96.400.458,230.88,217.55,63.313.074,6.1,5.9
2011,estadual,fundamental,iniciais (1-5),93.1,93.342.704,210.77,191.5,54.733.882,5.1,4.7
2013,estadual,fundamental,iniciais (1-5),94.7,94.902.277,215.24,199.24,56.994.014,5.4,5
2015,municipal,fundamental,finais (6-9),82.8,83.238.059,249.53,246.71,4.9375,4.1,4.3
2009,municipal,fundamental,finais (6-9),78.6,79.244.006,239.19,236.3,45.914.998,3.6,3.3
2021,municipal,fundamental,finais (6-9),94.7,946.945.087,249.15,252.38,5.0255,4.8,
2005,municipal,fundamental,finais (6-9),73.2,74.056.429,228.44,222.53,41.828.785,3.1,
2017,municipal,fundamental,finais (6-9),84.2,84.629.679,249.99,251.86,50.308.332,4.3,4.6
2013,municipal,fundamental,finais (6-9),82,82.483.315,241.61,237.57,46.529.999,3.8,3.9
2019,municipal,fundamental,finais (6-9),87.3,87.671.322,255.57,254.1,51.611.667,4.5,4.9
2007,municipal,fundamental,finais (6-9),77.6,78.328.747,237.58,226.14,43.955.002,3.4,3.1
2011,municipal,fundamental,finais (6-9),81.1,81.706.738,243.88,237.61,46.916.666,3.8,3.5
2013,municipal,fundamental,iniciais (1-5),91.1,91.136.158,206.86,191.19,53.928.485,4.9,4.5
2007,municipal,fundamental,iniciais (1-5),83.5,84.223.449,190.05,172.35,47.291.369,4,3.5
2005,municipal,fundamental,iniciais (1-5),78.1,79.595.274,174.86,165.07,43.024.325,3.4,
2019,municipal,fundamental,iniciais (1-5),93.9,93.969.482,223.89,210.77,6.074.789,5.7,5.4
2009,municipal,fundamental,iniciais (1-5),86.2,86.498.582,201.38,181.38,51.098.828,4.4,3.8
2021,municipal,fundamental,iniciais (1-5),97.2,9.724.868.883,210.88,202.63,56.777.594.993,5.5,
2011,municipal,fundamental,iniciais (1-5),89.4,89.507.347,206.13,187.14,53.056.016,4.7,4.2
2015,municipal,fundamental,iniciais (1-5),91.6,91.695.869,215.61,203.63,57.865.186,5.3,4.8
2017,municipal,fundamental,iniciais (1-5),92.5,92.569.715,220.02,210.89,60.028.358,5.6,5.1
